Data,Otwarcie
2020-04-02,63.6813
2020-04-03,60.8064
2020-04-06,66.9108
2020-04-07,64.5706
2020-04-08,66.5481
2020-04-09,65.5488
2020-04-13,67.2726
2020-04-14,70.7869
2020-04-15,70.0095
2020-04-16,73.4639
2020-04-17,72.8713
2020-04-20,71.5573
2020-04-21,67.1876
2020-04-22,71.3335
2020-04-23,70.8019
2020-04-24,72.1887
2020-04-27,74.0564
2020-04-28,72.6314
2020-04-29,74.4012
2020-04-30,72.8613
2020-05-01,70.4951
2020-05-04,72.6114
2020-05-05,73.225
2020-05-06,74.2332
2020-05-07,75.9999
2020-05-08,77.9034
2020-05-11,80.4225
2020-05-12,77.8035
2020-05-13,77.5777
2020-05-14,80.0748
2020-05-15,84.6672
2020-05-18,87.2543
2020-05-19,87.8038
2020-05-20,89.4436
2020-05-21,87.5041
2020-05-22,90.0062
2020-05-26,86.9306
2020-05-27,85.008
2020-05-28,84.6292
2020-05-29,88.5024
2020-06-01,87.8108
2020-06-02,88.0007
2020-06-03,87.4471
2020-06-04,87.4571
2020-06-05,88.985
2020-06-08,87.8388
2020-06-09,90.243
2020-06-10,93.4445
2020-06-11,87.7518
2020-06-12,89.1099
2020-06-15,91.516
2020-06-16,90.4659
2020-06-17,92.1375
2020-06-18,91.9577
2020-06-19,92.3904
2020-06-22,95.0404
2020-06-23,94.273
2020-06-24,92.1335
2020-06-25,94.6727
2020-06-26,91.3282
2020-06-29,91.7778
2020-06-30,94.7506
2020-07-01,95.0723
2020-07-02,95.8947
2020-07-06,98.1539
2020-07-07,98.4777
2020-07-08,101.912
2020-07-09,104.84
2020-07-10,104.55
2020-07-13,100.283
2020-07-14,103.531
2020-07-15,102.032
2020-07-16,101.103
2020-07-17,101.772
2020-07-20,104.86
2020-07-21,103.041
2020-07-22,104.14
2020-07-23,101.053
2020-07-24,101.702
2020-07-27,103.97
2020-07-28,101.912
2020-07-29,104.41
2020-07-30,105.89
2020-07-31,105.89
2020-08-03,109.836
2020-08-04,112.014
2020-08-05,112.594
2020-08-06,113.083
