Data,Otwarcie
2020-03-06,1808.36
2020-03-09,1685.28
2020-03-10,1643.34
2020-03-11,1607.3
2020-03-12,1450.71
2020-03-13,1334.37
2020-03-16,1342.4
2020-03-17,1370.79
2020-03-18,1425.27
2020-03-19,1406.71
2020-03-20,1502.14
2020-03-23,1461.22
2020-03-24,1449.34
2020-03-25,1487.75
2020-03-26,1431.53
2020-03-27,1494.31
2020-03-30,1482.1
2020-03-31,1486.89
2020-04-01,1495.43
2020-04-02,1490.41
2020-04-03,1492.1
2020-04-06,1534.81
2020-04-07,1602.14
2020-04-08,1602.33
2020-04-09,1596.79
2020-04-14,1631.5
2020-04-15,1669.23
2020-04-16,1610.81
2020-04-17,1618.42
2020-04-20,1629.69
2020-04-21,1631.4
2020-04-22,1574.07
2020-04-23,1609.41
2020-04-24,1617.91
2020-04-27,1614.29
2020-04-28,1590.34
2020-04-29,1601.65
2020-04-30,1661.23
2020-05-04,1630.24
2020-05-05,1609.04
2020-05-06,1604.6
2020-05-07,1572.16
2020-05-08,1600.54
2020-05-11,1614.21
2020-05-12,1589.69
2020-05-13,1615
2020-05-14,1605.68
2020-05-15,1585.51
2020-05-18,1585.92
2020-05-19,1651.08
2020-05-20,1640.26
2020-05-21,1651.03
2020-05-22,1632.27
2020-05-25,1639.26
2020-05-26,1657.26
2020-05-27,1713.73
2020-05-28,1722.43
2020-05-29,1718.19
2020-06-01,1733.13
2020-06-02,1735.86
2020-06-03,1741.91
2020-06-04,1765.6
2020-06-05,1794.38
2020-06-08,1842.22
2020-06-09,1848.11
2020-06-10,1840.1
2020-06-12,1792.35
2020-06-15,1767.35
2020-06-16,1765
2020-06-17,1807.91
2020-06-18,1787.9
2020-06-19,1791.68
2020-06-22,1805.25
2020-06-23,1807.1
2020-06-24,1830.39
2020-06-25,1781.84
2020-06-26,1799.33
2020-06-29,1758.46
2020-06-30,1770.24
2020-07-01,1760.72
2020-07-02,1778.45
2020-07-03,1811.07
2020-07-06,1820.81
2020-07-07,1816.46
2020-07-08,1797.88
2020-07-09,1791.68
2020-07-10,1781.84
2020-07-13,1806.55
2020-07-14,1797.85
2020-07-15,1783.18
2020-07-16,1791.04
2020-07-17,1800.7
2020-07-20,1795.09
2020-07-21,1852.56
2020-07-22,1844
2020-07-23,1837.64
2020-07-24,1809.5
2020-07-27,1811.4
2020-07-28,1831.03
2020-07-29,1819.4
2020-07-30,1827.17
2020-07-31,1767.31
2020-08-03,1769.31
2020-08-04,1813.7
2020-08-05,1819.96
2020-08-06,1834.67
2020-08-07,1818.62
2020-08-10,1822.48
2020-08-11,1830.21
2020-08-12,1848.54
2020-08-13,1856.65
2020-08-14,1857.47
2020-08-17,1856.46
2020-08-18,1859.11
2020-08-19,1838.62
2020-08-20,1829.52
2020-08-21,1824.52
2020-08-24,1830.14
2020-08-25,1847.98
2020-08-26,1817.91
2020-08-27,1846.42
2020-08-28,1842.36
2020-08-31,1832.66
2020-09-01,1803.77
2020-09-02,1777.15
2020-09-03,1787.62
2020-09-04,1754.65
2020-09-07,1765.37
2020-09-08,1778.86
2020-09-09,1735.58
2020-09-10,1776.48
2020-09-11,1767.42
2020-09-14,1783.55
2020-09-15,1760.55
2020-09-16,1746.94
2020-09-17,1736.81
2020-09-18,1745.91
2020-09-21,1724.89
2020-09-22,1689.6
