Data,Otwarcie
2019-07-19,10593.0
2019-07-22,10571.0
2019-07-23,10277.0
2019-07-24,10121.0
2019-07-25,9775.17
2019-07-26,9891.2
2019-07-29,9442.87
2019-07-30,9505.7
2019-07-31,9587.73
2019-08-01,10050.0
2019-08-02,10417.0
2019-08-05,10965.0
2019-08-06,11737.0
2019-08-07,11364.0
2019-08-08,11947.0
2019-08-09,11723.0
2019-08-12,11507.0
2019-08-13,11403.0
2019-08-14,10870.0
2019-08-15,10194.0
2019-08-16,10341.0
2019-08-19,10428.0
2019-08-20,10718.0
2019-08-21,10799.0
2019-08-22,10040.0
2019-08-23,10152.0
2019-08-26,10000.0
2019-08-27,10277.0
2019-08-28,10142.0
2019-08-29,9727.63
2019-08-30,9514.75
2019-09-02,9708.74
2019-09-03,10395.0
2019-09-04,10707.0
2019-09-05,10672.0
2019-09-06,10560.0
2019-09-09,10428.0
2019-09-10,10288.0
2019-09-11,10101.0
2019-09-12,10173.0
2019-09-13,10417.0
2019-09-16,10309.0
2019-09-17,10309.0
2019-09-18,10225.0
2019-09-19,10204.0
2019-09-20,10277.0
2019-09-23,10060.0
2019-09-24,9756.1
2019-09-25,8665.51
2019-09-26,8598.45
2019-09-27,8090.61
2019-09-30,8058.02
2019-10-01,8264.46
2019-10-02,8326.39
2019-10-03,8278.15
2019-10-04,8190.01
2019-10-07,7930.21
2019-10-08,8216.93
2019-10-09,8169.93
2019-10-10,8568.98
2019-10-11,8568.98
2019-10-14,8257.64
2019-10-15,8326.39
2019-10-16,8163.27
2019-10-17,7987.22
2019-10-18,8071.03
2019-10-21,8223.68
2019-10-22,8223.68
2019-10-23,8110.3
2019-10-24,7440.48
2019-10-25,7457.12
2019-10-28,9587.73
2019-10-29,9469.7
2019-10-30,9460.74
2019-10-31,9233.61
2019-11-01,9140.77
2019-11-04,9216.59
2019-11-05,9398.5
2019-11-06,9337.07
2019-11-07,9345.79
2019-11-08,9233.61
2019-11-11,9090.91
2019-11-12,8718.4
2019-11-13,8779.63
2019-11-14,8756.57
2019-11-15,8658.01
2019-11-18,8554.32
2019-11-19,8210.18
2019-11-20,8143.32
2019-11-21,8090.61
2019-11-22,7639.42
2019-11-25,7052.19
2019-11-26,7225.43
2019-11-27,7158.2
2019-11-28,7547.17
2019-11-29,7401.92
2019-12-02,7401.92
2019-12-03,7352.94
2019-12-04,7331.38
2019-12-05,7230.66
2019-12-06,7423.9
2019-12-09,7570.02
2019-12-10,7347.54
2019-12-11,7251.63
2019-12-12,7204.61
2019-12-13,7199.42
2019-12-16,7127.58
2019-12-17,6896.55
2019-12-18,6600.66
2019-12-19,7446.02
2019-12-20,7168.46
2019-12-23,7418.4
2019-12-24,7299.27
2019-12-26,7215.01
2019-12-27,7204.61
2019-12-30,7401.92
2019-12-31,7267.44
2020-01-02,7189.07
2020-01-03,6968.64
2020-01-06,7347.54
2020-01-07,7716.05
2020-01-08,8045.05
2020-01-09,8071.03
2020-01-10,7806.4
2020-01-13,8149.96
2020-01-14,8116.88
2020-01-15,8726.0
2020-01-16,8849.56
2020-01-17,8710.8
2020-01-20,8628.13
2020-01-21,8643.04
2020-01-22,8710.8
2020-01-23,8635.58
2020-01-24,8396.31
2020-01-27,8568.98
2020-01-28,8896.8
2020-01-29,9140.77
2020-01-30,9337.07
2020-01-31,9560.23
2020-02-03,9389.67
2020-02-04,9276.44
2020-02-05,9182.74
2020-02-06,9624.64
2020-02-07,9671.18
2020-02-10,10111.0
2020-02-11,9842.52
2020-02-12,10225.0
2020-02-13,10352.0
2020-02-14,10215.0
2020-02-17,9881.42
2020-02-18,9633.91
2020-02-19,10183.0
2020-02-20,9689.92
2020-02-21,9615.38
2020-02-24,9930.49
2020-02-25,9643.2
2020-02-26,9398.5
2020-02-27,8787.35
2020-02-28,8795.07
2020-03-02,8561.64
2020-03-03,8928.57
2020-03-04,8787.35
2020-03-05,8764.24
2020-03-06,9082.65
2020-03-09,8183.31
2020-03-10,7886.44
2020-03-11,7968.13
2020-03-12,7974.48
2020-03-13,5807.2
2020-03-16,5359.06
2020-03-17,4943.15
2020-03-18,5455.54
2020-03-19,5361.93
2020-03-20,6297.23
2020-03-23,5885.82
2020-03-24,6468.31
2020-03-25,6784.26
2020-03-26,6697.92
2020-03-27,6724.95
2020-03-30,5913.66
2020-03-31,6548.79
2020-04-01,6459.95
2020-04-02,6377.55
2020-04-03,6839.95
2020-04-06,6770.48
2020-04-07,7299.27
2020-04-08,7178.75
2020-04-09,7336.76
2020-04-13,7132.67
2020-04-14,6844.63
2020-04-15,6863.42
2020-04-16,6743.09
2020-04-17,7082.15
2020-04-20,7204.61
2020-04-21,6863.42
2020-04-22,6901.31
2020-04-23,7102.27
2020-04-24,7604.56
2020-04-27,7633.59
2020-04-28,7739.94
2020-04-29,7739.94
2020-04-30,8865.25
2020-05-01,8764.24
2020-05-04,8865.25
2020-05-05,8952.55
2020-05-06,8976.66
2020-05-07,9293.68
2020-05-08,9881.42
2020-05-11,8726.0
2020-05-12,8576.33
2020-05-13,8748.91
2020-05-14,9363.3
2020-05-15,9784.74
2020-05-18,9765.63
2020-05-19,9680.54
2020-05-20,9680.54
2020-05-21,9551.1
2020-05-22,9099.18
2020-05-25,9057.97
2020-05-26,8904.72
2020-05-27,8849.56
2020-05-28,9066.18
2020-05-29,9442.87
2020-06-01,9460.74
2020-06-02,9652.51
2020-06-03,9523.81
2020-06-04,9587.73
2020-06-05,9775.17
2020-06-08,9708.74
2020-06-09,9708.74
2020-06-10,9823.18
2020-06-11,9852.22
2020-06-12,9345.79
2020-06-15,9337.07
2020-06-16,9433.96
2020-06-17,9505.7
2020-06-18,9407.34
2020-06-19,9363.3
2020-06-22,9328.36
2020-06-23,9689.92
2020-06-24,9652.51
2020-06-25,9267.84
2020-06-26,9302.33
2020-06-29,9124.09
2020-06-30,9208.1
2020-07-01,9165.9
2020-07-02,9242.14
2020-07-03,9149.13
2020-07-06,9041.59
2020-07-07,9285.05
2020-07-08,9250.69
2020-07-09,9433.96
2020-07-10,9250.69
2020-07-13,9267.84
2020-07-14,9250.69
2020-07-15,9242.14
2020-07-16,9225.09
2020-07-17,9124.09
2020-07-20,9174.31
2020-07-21,9174.31
2020-07-22,9380.86
2020-07-23,9381.48
2020-07-24,9618.62
2020-07-27,9888.65
2020-07-28,11126.0
2020-07-29,11025.0
2020-07-30,11297.0
2020-07-31,11097.0
2020-08-03,11137.0
2020-08-04,11223.0
2020-08-05,11241.0
2020-08-06,11780.0
2020-08-07,11747.0
2020-08-10,11648.0
2020-08-11,11839.0
2020-08-12,11303.0
2020-08-13,11510.0
2020-08-14,11698.0
2020-08-17,11863.0
2020-08-18,12335.0
2020-08-19,12075.0
2020-08-20,11716.0
2020-08-21,11833.0
2020-08-24,11671.0
2020-08-25,11759.0
2020-08-26,11313.0
2020-08-27,11477.0
2020-08-28,11289.0
2020-08-31,11608.0
2020-09-01,11638.0
2020-09-02,12027.0
2020-09-03,11388.0
2020-09-04,10734.0
2020-09-07,10329.0
2020-09-08,10161.0
2020-09-09,10030.0
2020-09-10,10245.0
2020-09-11,10352.0
2020-09-14,10304.0
2020-09-15,10718.0
2020-09-16,10858.0
2020-09-17,11019.0
2020-09-18,10963.0
2020-09-21,10877.0
2020-09-22,10509.0
2020-09-23,10551.0
2020-09-24,10260.0
2020-09-25,10652.0
2020-09-28,10727.0
2020-09-29,10890.0
2020-09-30,10773.0
2020-10-01,10708.0
2020-10-02,10593.0
2020-10-05,10654.0
2020-10-06,10744.0
2020-10-07,10575.0
2020-10-08,10663.0
2020-10-09,10885.0
2020-10-12,11328.0
2020-10-13,11692.0
2020-10-14,11455.0
2020-10-15,11384.0
2020-10-16,11506.0
2020-10-19,11463.0
2020-10-20,11756.0
2020-10-21,11930.0
2020-10-22,12939.0
2020-10-23,13156.0
2020-10-26,13021.0
2020-10-27,13056.0
2020-10-28,13737.0
2020-10-29,13267.0
2020-10-30,13412.0
2020-11-02,13698.0
2020-11-03,13582.0
2020-11-04,13832.0
2020-11-05,14122.0
2020-11-06,15559.0
2020-11-09,15520.0
2020-11-10,15254.0
2020-11-11,15382.0
2020-11-12,15810.0
2020-11-13,16226.0
2020-11-16,15942.0
2020-11-17,16728.0
2020-11-18,17604.0
2020-11-19,17835.0
2020-11-20,17881.0
2020-11-23,18628.0
2020-11-24,18421.0
2020-11-25,19127.0
2020-11-26,18778.0
2020-11-27,17200.0
2020-11-30,18161.0
2020-12-01,19490.0
2020-12-02,18952.0
2020-12-03,19134.0
2020-12-04,19483.0
2020-12-07,19145.0
2020-12-08,19126.0
2020-12-09,18472.0
2020-12-10,18560.0
2020-12-11,18334.0
2020-12-14,19111.0
2020-12-15,19286.0
2020-12-16,19473.0
2020-12-17,21397.0
2020-12-18,22976.0
2020-12-21,23485.0
2020-12-22,23185.0
2020-12-23,23724.0
2020-12-24,23270.0
2020-12-28,26474.0
2020-12-29,26826.0
2020-12-30,27012.0
2020-12-31,28732.0
2021-01-04,33148.0
2021-01-05,31387.0
2021-01-06,34310.0
2021-01-07,36058.0
2021-01-08,39675.0
2021-01-11,38456.0
2021-01-12,34470.0
2021-01-13,33649.0
2021-01-14,37165.0
2021-01-15,38873.0
2021-01-18,36215.0
2021-01-19,36464.0
2021-01-20,36686.0
2021-01-21,35008.0
2021-01-22,30857.0
2021-01-25,32181.0
2021-01-26,32488.0
2021-01-27,32736.0
2021-01-28,30601.0
2021-01-29,33537.0
2021-02-01,33007.0
2021-02-02,33562.0
2021-02-03,35629.0
2021-02-04,37315.0
2021-02-05,37294.0
2021-02-08,38829.0
2021-02-09,44669.0
2021-02-10,46880.0
2021-02-11,45230.0
2021-02-12,47710.0
2021-02-15,49114.0
2021-02-16,48260.0
2021-02-17,49135.0
2021-02-18,52143.0
2021-02-19,51875.0
2021-02-22,57356.0
2021-02-23,54157.0
2021-02-24,48697.0
2021-02-25,48885.0
2021-02-26,48126.0
2021-03-01,45271.0
2021-03-02,49169.0
2021-03-03,47845.0
2021-03-04,50602.0
2021-03-05,48251.0
2021-03-08,50515.0
2021-03-09,51602.0
2021-03-10,54807.0
2021-03-11,56941.0
2021-03-12,57954.0
2021-03-15,60208.0
2021-03-16,56148.0
2021-03-17,56309.0
2021-03-18,58357.0
2021-03-19,57697.0
2021-03-22,57637.0
2021-03-23,54576.0
2021-03-24,54395.0
2021-03-25,52596.0
2021-03-26,51757.0
2021-03-29,55142.0
2021-03-30,57554.0
2021-03-31,58758.0
2021-04-01,58948.0
2021-04-05,58116.0
2021-04-06,58675.0
2021-04-07,57927.0
2021-04-08,56186.0
2021-04-09,57677.0
2021-04-12,59545.0
2021-04-13,60002.0
2021-04-14,63139.0
2021-04-15,62810.0
2021-04-16,63460.0
2021-04-19,56354.0
2021-04-20,56338.0
2021-04-21,57016.0
2021-04-22,54816.0
2021-04-23,51698.0
2021-04-26,47694.0
2021-04-27,53385.0
2021-04-28,55325.0
2021-04-29,54858.0
2021-04-30,53339.0
2021-05-03,56702.0
2021-05-04,57130.0
2021-05-05,54386.0
2021-05-06,56844.0
2021-05-07,56386.0
2021-05-10,58102.0
2021-05-11,55757.0
